wandb has been initialized with project nameshakespeare-char and name mini-gpt
Our config file is {'out_dir': 'out-shakespeare-char', 'eval_interval': 250, 'log_interval': 1, 'eval_iters': 20, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'scratch', 'wandb_log': False, 'wandb_project': 'shakespeare-char', 'wandb_run_name': 'mini-gpt', 'dataset': 'shakespeare_char', 'gradient_accumulation_steps': 1, 'batch_size': 12, 'block_size': 64, 'n_layer': 4, 'n_head': 4, 'n_embd': 128, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.001, 'max_iters': 2000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 2000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'mps', 'dtype': 'float16', 'compile': False}
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1676, val loss 4.1649
/Users/zuko/Prince_Zuko/nanoGPT/nanoGPT/nano_gpt/lib/python3.8/site-packages/torch/cuda/amp/grad_scaler.py:120: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn("torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.")
iter 0: loss 4.1828, time 1862.35ms, mfu -100.00%
iter 1: loss 4.1512, time 100.78ms, mfu -100.00%
iter 2: loss 4.1654, time 60.26ms, mfu -100.00%
iter 3: loss 4.1398, time 60.08ms, mfu -100.00%
iter 4: loss 4.0927, time 59.76ms, mfu -100.00%
iter 5: loss 4.0367, time 59.72ms, mfu 0.02%
iter 6: loss 3.9746, time 60.52ms, mfu 0.02%
iter 7: loss 3.9021, time 60.71ms, mfu 0.02%
iter 8: loss 3.8626, time 60.76ms, mfu 0.02%
iter 9: loss 3.7704, time 59.43ms, mfu 0.02%
iter 10: loss 3.7665, time 59.44ms, mfu 0.02%
iter 11: loss 3.7467, time 60.96ms, mfu 0.02%
iter 12: loss 3.7263, time 59.26ms, mfu 0.02%
iter 13: loss 3.6980, time 59.72ms, mfu 0.02%
iter 14: loss 3.6628, time 59.82ms, mfu 0.02%
iter 15: loss 3.6419, time 60.38ms, mfu 0.02%
iter 16: loss 3.6213, time 59.36ms, mfu 0.02%
iter 17: loss 3.6162, time 61.16ms, mfu 0.02%
iter 18: loss 3.6407, time 59.58ms, mfu 0.02%
iter 19: loss 3.6619, time 60.20ms, mfu 0.02%
iter 20: loss 3.5484, time 60.35ms, mfu 0.02%
iter 21: loss 3.5656, time 59.62ms, mfu 0.02%
iter 22: loss 3.5263, time 59.51ms, mfu 0.02%
iter 23: loss 3.5019, time 59.42ms, mfu 0.02%
iter 24: loss 3.5342, time 59.41ms, mfu 0.02%
iter 25: loss 3.3670, time 61.30ms, mfu 0.02%
iter 26: loss 3.3540, time 59.86ms, mfu 0.02%
iter 27: loss 3.3793, time 59.42ms, mfu 0.02%
iter 28: loss 3.2957, time 59.33ms, mfu 0.02%
iter 29: loss 3.3217, time 59.72ms, mfu 0.02%
iter 30: loss 3.3526, time 59.45ms, mfu 0.02%
iter 31: loss 3.2465, time 59.09ms, mfu 0.02%
iter 32: loss 3.2195, time 59.76ms, mfu 0.02%
iter 33: loss 3.2252, time 59.05ms, mfu 0.02%
iter 34: loss 3.1642, time 59.61ms, mfu 0.02%
iter 35: loss 3.2609, time 58.97ms, mfu 0.02%
iter 36: loss 3.1577, time 59.42ms, mfu 0.02%
iter 37: loss 3.1705, time 59.44ms, mfu 0.02%
iter 38: loss 3.0329, time 59.60ms, mfu 0.02%
iter 39: loss 3.0840, time 59.74ms, mfu 0.02%
iter 40: loss 3.1115, time 60.08ms, mfu 0.02%
iter 41: loss 3.0512, time 59.93ms, mfu 0.02%
iter 42: loss 3.0016, time 59.59ms, mfu 0.02%
iter 43: loss 2.9784, time 59.14ms, mfu 0.02%
iter 44: loss 3.0152, time 59.80ms, mfu 0.02%
iter 45: loss 2.9944, time 58.98ms, mfu 0.02%
iter 46: loss 2.9305, time 59.44ms, mfu 0.02%
iter 47: loss 3.0577, time 58.72ms, mfu 0.02%
iter 48: loss 2.9505, time 59.30ms, mfu 0.02%
iter 49: loss 2.9481, time 59.55ms, mfu 0.02%
iter 50: loss 2.9463, time 59.13ms, mfu 0.02%
iter 51: loss 2.9205, time 59.93ms, mfu 0.02%
iter 52: loss 2.9232, time 59.35ms, mfu 0.02%
iter 53: loss 2.9064, time 59.84ms, mfu 0.02%
iter 54: loss 2.8243, time 58.88ms, mfu 0.02%
iter 55: loss 2.8249, time 59.60ms, mfu 0.02%
iter 56: loss 2.7912, time 59.62ms, mfu 0.02%
iter 57: loss 2.8584, time 60.30ms, mfu 0.02%
iter 58: loss 2.8226, time 59.81ms, mfu 0.02%
iter 59: loss 2.8468, time 60.17ms, mfu 0.02%
iter 60: loss 2.7946, time 59.88ms, mfu 0.02%
iter 61: loss 2.8312, time 58.91ms, mfu 0.02%
iter 62: loss 2.7602, time 59.26ms, mfu 0.02%
iter 63: loss 2.8024, time 58.90ms, mfu 0.02%
iter 64: loss 2.8022, time 58.85ms, mfu 0.02%
iter 65: loss 2.7321, time 59.83ms, mfu 0.02%
iter 66: loss 2.7658, time 59.57ms, mfu 0.02%
iter 67: loss 2.7488, time 60.36ms, mfu 0.02%
iter 68: loss 2.7737, time 59.25ms, mfu 0.02%
iter 69: loss 2.7789, time 59.12ms, mfu 0.02%
iter 70: loss 2.7076, time 60.14ms, mfu 0.02%
iter 71: loss 2.7727, time 60.13ms, mfu 0.02%
iter 72: loss 2.6684, time 60.27ms, mfu 0.02%
iter 73: loss 2.7057, time 59.48ms, mfu 0.02%
iter 74: loss 2.6562, time 60.13ms, mfu 0.02%
iter 75: loss 2.7676, time 59.06ms, mfu 0.02%
iter 76: loss 2.6640, time 59.96ms, mfu 0.02%
iter 77: loss 2.7622, time 59.97ms, mfu 0.02%
iter 78: loss 2.6759, time 58.92ms, mfu 0.02%
iter 79: loss 2.6806, time 59.15ms, mfu 0.02%
iter 80: loss 2.6173, time 58.56ms, mfu 0.02%
iter 81: loss 2.6891, time 59.15ms, mfu 0.02%
iter 82: loss 2.6911, time 59.06ms, mfu 0.02%
